接口编号,工具形式,管路安装阶段结果,螺母扳手或套筒方位_deg,反力扳手方位_deg,采用独立夹角,最少遮挡姿态中的零件
BS.204,双开口扳手,未找到无碰撞包络姿态,255,75,否,湿氢循环泵（HCP-201） [Recirc]；床路选择阀组（BS-401） [BedSupply]；活接固定端与反力六角（BS.IN） [UnionBody_BS_IN]；活接可旋转螺母（BS.IN） [UnionNut_BS_IN]
BS.REG,双开口扳手,未找到无碰撞包络姿态,315,135,否,活接固定端与反力六角（BS.201） [UnionBody_BS_201]；活接可旋转螺母（BS.201） [UnionNut_BS_201]
BR.OUT,双开口扳手,未找到无碰撞包络姿态,150,330,否,70节电堆·端板拉杆（STK-101） [Stack]；储氢床冷却液管路041｜BS-401·床路选择阀组—固态储氢模块（MH202） [Pipe041]；储氢床冷却液管路042｜固态储氢模块（MH202）—BR-401·床路回流阀组 [Pipe042]
BR.201,双开口扳手,未找到无碰撞包络姿态,105,285,否,床路回流阀组（BR-401） [BedReturn]；活接固定端与反力六角（BR.TK） [UnionBody_BR_TK]；活接可旋转螺母（BR.TK） [UnionNut_BR_TK]；氢气管路051｜气态储氢瓶（GH205，35兆帕，概念容量22.174升）—REG-205·双级减压·切断·比例·止回 [Pipe051]
BR.202,双开口扳手,未找到无碰撞包络姿态,30,210,否,储氢床冷却液管路042｜固态储氢模块（MH202）—BR-401·床路回流阀组 [Pipe042]
BR.203,双开口扳手,未找到无碰撞包络姿态,30,210,否,活接固定端与反力六角（HM.205） [UnionBody_HM_205]；活接可旋转螺母（HM.205） [UnionNut_HM_205]；储氢床冷却液管路041｜BS-401·床路选择阀组—固态储氢模块（MH202） [Pipe041]；氢气管路051｜气态储氢瓶（GH205，35兆帕，概念容量22.174升）—REG-205·双级减压·切断·比例·止回 [Pipe051]；储氢床冷却液管路042｜固态储氢模块（MH202）—BR-401·床路回流阀组 [Pipe042]
BR.204,双开口扳手,未找到无碰撞包络姿态,15,195,否,70节电堆·端板拉杆（STK-101） [Stack]；活接可旋转螺母（RET.TK） [UnionNut_RET_TK]
BR.TK,双开口扳手,未找到无碰撞包络姿态,15,195,否,床路回流阀组（BR-401） [BedReturn]；活接端面密封圈（BR.OUT） [UnionSeal_BR_OUT]；活接端面密封圈（BR.204） [UnionSeal_BR_204]；储氢床冷却液管路032｜BR-401·床路回流阀组—P-401·床泵·15升/分钟 [Pipe032]；储氢床冷却液管路050｜固态储氢模块（MH204）—BR-401·床路回流阀组 [Pipe050]
BR.REG,双开口扳手,未找到无碰撞包络姿态,60,240,否,双级减压·切断·比例·止回（REG-205） [Reg205]；活接固定端与反力六角（BR.202） [UnionBody_BR_202]；活接管侧端与承压凸缘（BR.202） [UnionTail_BR_202]；活接端面密封圈（BR.202） [UnionSeal_BR_202]；氢气管路039｜固态储氢模块（MH202）—XV/PCV/CV-202·床支路隔离比例止回 [Pipe039]
HM.201,双开口扳手,未找到无碰撞包络姿态,135,315,否,储氢床冷却液管路045｜BS-401·床路选择阀组—固态储氢模块（MH203） [Pipe045]；储氢床冷却液管路049｜BS-401·床路选择阀组—固态储氢模块（MH204） [Pipe049]
HM.202,双开口扳手,未找到无碰撞包络姿态,45,225,否,氢气管路047｜固态储氢模块（MH204）—XV/PCV/CV-204·床支路隔离比例止回 [Pipe047]；储氢床冷却液管路049｜BS-401·床路选择阀组—固态储氢模块（MH204） [Pipe049]
HM.203,双开口扳手,找到无碰撞包络姿态,135,315,否,
HM.204,双开口扳手,找到无碰撞包络姿态,135,315,否,
HM.205,双开口扳手,未找到无碰撞包络姿态,105,285,否,双级减压·切断·比例·止回（REG-205） [Reg205]；活接固定端与反力六角（HM.201） [UnionBody_HM_201]；活接管侧端与承压凸缘（HM.201） [UnionTail_HM_201]；活接端面密封圈（HM.201） [UnionSeal_HM_201]；活接可旋转螺母（HM.201） [UnionNut_HM_201]
HM.206,双开口扳手,未找到无碰撞包络姿态,225,45,否,活接管侧端与承压凸缘（BS.202） [UnionTail_BS_202]；活接端面密封圈（BS.202） [UnionSeal_BS_202]；活接可旋转螺母（BS.202） [UnionNut_BS_202]；储氢床冷却液管路041｜BS-401·床路选择阀组—固态储氢模块（MH202） [Pipe041]
HM.OUT,双开口扳手,未找到无碰撞包络姿态,150,330,否,六路止回合流（HM-201） [HydrogenHeader]；活接端面密封圈（HM.204） [UnionSeal_HM_204]；氢气管路048｜XV/PCV/CV-204·床支路隔离比例止回—HM-201·六路止回合流 [Pipe048]
RAD.I,双开口扳手,找到无碰撞包络姿态,0,180,否,
RAD.O,双开口扳手,找到无碰撞包络姿态,0,270,是,
V201.I,双开口扳手,找到无碰撞包络姿态,225,315,是,
V201.O,双开口扳手,找到无碰撞包络姿态,165,345,否,
V202.I,双开口扳手,未找到无碰撞包络姿态,180,0,否,去离子旁路（DI-301） [DI]；活接固定端与反力六角（V202.O） [UnionBody_V202_O]；活接管侧端与承压凸缘（V202.O） [UnionTail_V202_O]；活接端面密封圈（V202.O） [UnionSeal_V202_O]；活接可旋转螺母（V202.O） [UnionNut_V202_O]
V202.O,双开口扳手,找到无碰撞包络姿态,150,240,是,
V203.I,双开口扳手,未找到无碰撞包络姿态,240,60,否,床支路隔离比例止回（XV/PCV/CV-201） [Train201]；活接固定端与反力六角（V201.O） [UnionBody_V201_O]；活接管侧端与承压凸缘（V201.O） [UnionTail_V201_O]；活接端面密封圈（V201.O） [UnionSeal_V201_O]；氢气管路036｜XV/PCV/CV-201·床支路隔离比例止回—HM-201·六路止回合流 [Pipe036]
V203.O,双开口扳手,找到无碰撞包络姿态,165,225,是,
V204.I,双开口扳手,未找到无碰撞包络姿态,30,210,否,湿氢循环泵（HCP-201） [Recirc]；去离子旁路（DI-301） [DI]
V204.O,双开口扳手,找到无碰撞包络姿态,165,225,是,
REG205.I,双开口扳手,找到无碰撞包络姿态,45,225,否,
REG205.O,双开口扳手,找到无碰撞包络姿态,225,135,是,
REG205.PRD,双开口扳手,未找到无碰撞包络姿态,15,195,否,氢气管路006｜HM-201·六路止回合流—HX-201·双壁氢伴热器 [Pipe006]
REG205.S,双开口扳手,未找到无碰撞包络姿态,30,210,否,氢气管路006｜HM-201·六路止回合流—HX-201·双壁氢伴热器 [Pipe006]；空气管路058｜AF-101·外界进气滤清器·双腔壳体—外界进气接口 [Pipe058]
REG205.R,双开口扳手,未找到无碰撞包络姿态,195,15,否,储氢床冷却液管路055｜BS-401·床路选择阀组—REG-205·双级减压·切断·比例·止回 [Pipe055]
REG206.I,双开口扳手,找到无碰撞包络姿态,180,0,否,
REG206.O,双开口扳手,找到无碰撞包络姿态,180,120,是,
REG206.PRD,双开口扳手,找到无碰撞包络姿态,75,165,是,
REG206.S,双开口扳手,未找到无碰撞包络姿态,30,210,否,氢气管路054｜REG-206·双级减压·切断·比例·止回—HM-201·六路止回合流 [Pipe054]；氢气管路035｜固态储氢模块（MH201）—XV/PCV/CV-201·床支路隔离比例止回 [Pipe035]
REG206.R,双开口扳手,未找到无碰撞包络姿态,210,30,否,氢气管路035｜固态储氢模块（MH201）—XV/PCV/CV-201·床支路隔离比例止回 [Pipe035]
TV2.SHORT,双开口扳手,找到无碰撞包络姿态,0,180,否,
AIR_IN.PORT,双套筒,找到无碰撞包络姿态,75,,否,
AIR_OUT.PORT,双套筒,找到无碰撞包络姿态,15,,否,
PURGE.PORT,双开口扳手,找到无碰撞包络姿态,165,225,是,
VENT205.PORT,双开口扳手,未找到无碰撞包络姿态,330,150,否,气瓶206安全放散外接管 [External_VENT206]
VENT206.PORT,双开口扳手,未找到无碰撞包络姿态,30,210,否,电气层独立支柱003 [PowerRackPost_3]
BED_FILL.PORT,双开口扳手,找到无碰撞包络姿态,30,210,否,
